x_min,x_max,y_min,y_max,r,g,b
-25,-20,15,20,0,0,0
-25,-20,10,15,0,0,0
-25,-20,5,10,0,0,0
-25,-20,0,5,0,0,0
-25,-20,-5,0,0,0,134
-25,-20,-10,-5,0,90,190
-25,-20,-15,-10,0,0,0
-25,-20,-20,-15,0,0,0
-25,-20,-25,-20,0,0,0
-25,-20,-30,-25,0,0,0
-20,-15,15,20,0,0,0
-20,-15,10,15,0,0,0
-20,-15,5,10,0,0,0
-20,-15,0,5,0,0,0
-20,-15,-5,0,0,238,0
-20,-15,-10,-5,0,0,0
-20,-15,-15,-10,0,0,0
-20,-15,-20,-15,0,0,0
-20,-15,-25,-20,0,0,0
-20,-15,-30,-25,0,0,0
-15,-10,15,20,0,0,0
-15,-10,10,15,0,0,0
-15,-10,5,10,0,0,0
-15,-10,0,5,0,0,0
-15,-10,-5,0,242,0,0
-15,-10,-10,-5,230,0,0
-15,-10,-15,-10,0,0,0
-15,-10,-20,-15,0,0,0
-15,-10,-25,-20,0,0,0
-15,-10,-30,-25,0,0,0
-10,-5,15,20,0,0,0
-10,-5,10,15,0,0,0
-10,-5,5,10,0,0,0
-10,-5,0,5,242,230,0
-10,-5,-5,0,248,56,0
-10,-5,-10,-5,244,112,0
-10,-5,-15,-10,237,203,0
-10,-5,-20,-15,0,0,0
-10,-5,-25,-20,0,0,0
-10,-5,-30,-25,0,0,0
-5,0,15,20,0,0,0
-5,0,10,15,0,0,0
-5,0,5,10,240,201,0
-5,0,0,5,231,230,0
-5,0,-5,0,247,246,0
-5,0,-10,-5,242,180,0
-5,0,-15,-10,0,0,0
-5,0,-20,-15,237,116,0
-5,0,-25,-20,0,0,0
-5,0,-30,-25,0,0,0
0,5,15,20,0,0,0
0,5,10,15,0,0,0
0,5,5,10,0,0,0
0,5,0,5,0,0,0
0,5,-5,0,247,56,0
0,5,-10,-5,0,104,168
0,5,-15,-10,0,0,0
0,5,-20,-15,0,0,0
0,5,-25,-20,0,46,187
0,5,-30,-25,0,0,0
5,10,15,20,0,0,0
5,10,10,15,0,0,0
5,10,5,10,0,0,0
5,10,0,5,107,234,0
5,10,-5,0,43,121,43
5,10,-10,-5,119,246,0
5,10,-15,-10,0,0,0
5,10,-20,-15,0,0,0
5,10,-25,-20,0,0,0
5,10,-30,-25,0,0,0
10,15,15,20,0,0,0
10,15,10,15,0,0,0
10,15,5,10,0,0,0
10,15,0,5,0,0,0
10,15,-5,0,237,169,0
10,15,-10,-5,240,240,0
10,15,-15,-10,0,0,0
10,15,-20,-15,0,0,0
10,15,-25,-20,0,0,0
10,15,-30,-25,0,0,0
15,20,15,20,0,0,0
15,20,10,15,0,0,0
15,20,5,10,0,0,0
15,20,0,5,233,201,0
15,20,-5,0,0,0,0
15,20,-10,-5,239,223,0
15,20,-15,-10,0,0,0
15,20,-20,-15,0,0,0
15,20,-25,-20,0,0,0
15,20,-30,-25,0,0,0
20,25,15,20,0,0,0
20,25,10,15,0,0,0
20,25,5,10,0,0,0
20,25,0,5,99,234,0
20,25,-5,0,0,0,0
20,25,-10,-5,237,211,0
20,25,-15,-10,0,0,0
20,25,-20,-15,0,0,0
20,25,-25,-20,0,0,0
20,25,-30,-25,0,0,0
25,30,15,20,0,0,0
25,30,10,15,0,0,0
25,30,5,10,0,0,0
25,30,0,5,108,231,0
25,30,-5,0,0,0,0
25,30,-10,-5,231,230,0
25,30,-15,-10,0,0,0
25,30,-20,-15,0,0,0
25,30,-25,-20,0,0,0
25,30,-30,-25,0,0,0
30,35,15,20,0,0,0
30,35,10,15,0,0,0
30,35,5,10,0,0,0
30,35,0,5,6,99,145
30,35,-5,0,0,0,0
30,35,-10,-5,24,240,0
30,35,-15,-10,0,0,5
30,35,-20,-15,0,0,0
30,35,-25,-20,0,0,0
30,35,-30,-25,0,0,0
